"","date","E2","E5","E1","E3","P1","P3","P4","P6","P7","P8","P9","P2","E4","P5"
"130",2019-10-06 09:00:00,7.8,4.3,10.4,14.7,2.41,2.892,2.99733333333333,3.2625,3.62733333333333,2.22272727272727,2.722,4.10466666666667,NA,NA
"131",2019-10-06 10:00:00,4.3,4.6,9.8,12.1,2.304,2.39133333333333,2.542,4.883,2.91666666666667,1.84028571428571,2.238,3.55033333333333,NA,NA
"132",2019-10-06 11:00:00,1.1,8.1,7.6,7,2.48866666666667,2.719,3.29266666666667,5.72466666666667,2.748,1.88883720930233,2.54466666666667,4.08966666666667,NA,NA
"133",2019-10-06 12:00:00,4.3,7.4,4,8.2,2.879,3.462,4.007,5.991,3.36,2.20674418604651,3.75433333333333,5.93,NA,NA
"134",2019-10-06 13:00:00,5,5.7,6,5,2.78866666666667,4.17833333333333,3.10833333333333,6.75344827586207,3.08133333333333,2.298125,4.40966666666667,6.25903225806452,NA,NA
"135",2019-10-06 14:00:00,2.3,3.1,5.6,2.2,3.092,3.85533333333333,2.72366666666667,6.40266666666667,3.6,2.42581395348837,4.66733333333333,6.20466666666667,NA,NA
"136",2019-10-06 15:00:00,5.9,10.9,4.2,1.4,3.54766666666667,3.84133333333333,2.853,5.07121212121212,3.705,2.682,3.89,6.51166666666667,NA,NA
"137",2019-10-06 16:00:00,6.4,7.5,3.6,3.1,3.44833333333333,3.55533333333333,2.66233333333333,4.68033333333333,3.14709677419355,2.57897435897436,3.859,5.79966666666667,NA,NA
"138",2019-10-06 17:00:00,8.8,6.1,4.6,1.6,3.199,3.31133333333333,2.52433333333333,4.12571428571429,2.8396875,2.49375,3.168,4.73548387096774,NA,NA
"139",2019-10-06 18:00:00,0,8.4,3,0.5,2.564,2.766,2.15,3,2.598,31.6007692307692,3.04833333333333,4.665,NA,NA
"140",2019-10-06 19:00:00,5.4,5.1,1.7,3.4,2.189,2.47533333333333,2.05,2.937,2.26233333333333,1.78621621621622,2.734,4.068,NA,NA
"141",2019-10-06 20:00:00,6,8,5,1.3,2.065,2.40733333333333,1.84766666666667,2.889,2.38833333333333,1.88090909090909,2.82266666666667,4.128,NA,NA
"142",2019-10-06 21:00:00,4.8,4.2,5,1.7,2.428,2.506,2.203,4.04033333333333,2.76,1.9672972972973,3.28766666666667,3.76366666666667,NA,NA
"143",2019-10-06 22:00:00,7.4,2.2,NA,0.3,3.311,3.155,2.68533333333333,3.38933333333333,3.283,2.31707317073171,3.21533333333333,5.239,NA,NA
"144",2019-10-06 23:00:00,8.7,1.5,NA,4.3,6.214,4.333,3.47766666666667,4.173,4.418,2.7474,4.49633333333333,5.93366666666667,NA,NA
"145",2019-10-07 00:00:00,6.1,7.5,NA,8.7,9.39433333333333,10.9316666666667,4.26933333333333,5.68366666666667,6.25655172413793,4.155,5.694,5.73533333333333,NA,NA
"146",2019-10-07 01:00:00,9,4.1,NA,9,5.66733333333333,5.19033333333333,5.05433333333333,6.86766666666667,6.00647058823529,4.2502380952381,5.67266666666667,7.1803125,NA,NA
"147",2019-10-07 02:00:00,8.9,7,NA,8.1,4.882,4.801,4.55366666666667,6.55366666666667,5.22625,3.94568181818182,5.32233333333333,7.99533333333333,NA,NA
"148",2019-10-07 03:00:00,8.5,5.8,NA,12.1,4.524,4.624,4.80633333333333,5.07466666666667,4.846,3.46755102040816,4.61,7.37933333333333,NA,NA
"149",2019-10-07 04:00:00,1.7,5.1,NA,8.2,4.398,4.38266666666667,5.038,5.32033333333333,4.7084375,3.14574468085106,4.91333333333333,7.08066666666667,NA,NA
"150",2019-10-07 05:00:00,2.4,3.4,NA,9.3,4.26633333333333,4.16733333333333,4.841,5.70633333333333,4.294375,3.36871794871795,5.63285714285714,7.01866666666667,NA,NA
"151",2019-10-07 06:00:00,5.7,3.7,NA,6.8,4.20766666666667,3.772,4.64133333333333,5.597,3.7565625,2.98093023255814,5.00888888888889,6.97733333333333,NA,NA
"152",2019-10-07 07:00:00,7.2,8.5,NA,7.4,3.70866666666667,3.28133333333333,4.055,6.01766666666667,3.52272727272727,2.74820512820513,5.428,7.76033333333333,NA,NA
